BSHspecies	ratio	min	max	phase	comparison	search_method
Ligilactobacillus salivarius str. Ren-A0A0F7Q0L6	-2.7083299827595	-9.82866	4.13247	light	FAvFT	targetted
Poriferisphaera corsica-A0A517YPL6	-2.7075866041045	-9.44192	4.02224	dark	FAvFT	targetted
Furfurilactobacillus rossiae-A0A6N9I4L6	-2.70617256814	-9.62735	3.90871	light	FAvFT	targetted
Faecalicoccus pleomorphus-A0A7X9NIY8	-2.70610809674	-10.1371	3.37277	light	FAvFT	targetted
Faecalicoccus pleomorphus-A0A3E3E3J4	-2.70610809674	-10.1371	3.37277	light	FAvFT	targetted
Enterousia_sp902776515	-2.70575677143	-10.5861	5.19939	light	FAvFT	untargetted
Flavonifractor plautii ATCC 29863-G9YSR9	-2.70265158976	-9.75626	3.46227	dark	FAvFT	targetted
Flavonifractor plautii DSM 6740-A0A4R2LXF5	-2.70265158976	-9.75626	3.46227	dark	FAvFT	targetted
Flavonifractor plautii 1_3_50AFAA-A0A096DGB7	-2.70265158976	-9.75626	3.46227	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (strain KF147)-D2BLF2	-2.70216931752	-10.0076	3.67681	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A1V0P467	-2.70216931752	-10.0076	3.67681	dark	FAvFT	targetted
Streptococcus pantholopis-A0A172Q6Y8	-2.70181054248501	-9.64197	4.30221	dark	FAvFT	targetted
Clostridium sp. CAG:217-R6J1M9	-2.70181054248501	-9.64197	4.30221	dark	FAvFT	targetted
Trichococcus collinsii-A0A143Z5L8	-2.70029293281499	-9.93236	4.10534	light	FAvFT	targetted
Subdoligranulum variabile-A0A2V2FCR4	-2.6996945872505	-9.37294	4.12919	light	FAvFT	targetted
Enterocloster bolteae (strain ATCC BAA-613 / DSM 15670 / CCUG 46953 / JCM 12243 / WAL 16351) (Clostridium bolteae)-A8RH30	-2.6989795046285	-10.1108	3.52902	light	FAvFT	targetted
Roseburia inulinivorans-A0A3R5WRX9	-2.698614323545	-10.3811	3.08492	dark	FAvFT	targetted
Parabacteroides goldsteinii-A0A0J6CSB9	-2.6985417925215	-10.3357	3.26577	light	FAvFT	targetted
Fructilactobacillus fructivorans-A0A837RN10	-2.697795934215	-9.20527	3.65876	dark	FAvFT	targetted
Desulfarculus baarsii (strain ATCC 33931 / DSM 2075 / LMG 7858 / VKM B-1802 / 2st14)-E1QI79	-2.69765334742	-10.1774	2.87788	light	FAvFT	targetted
Parabacteroides distasonis-A0A173W339	-2.69706101016001	-9.53227	4.24981	light	FAvFT	targetted
Parabacteroides distasonis str. 3776 Po2 i-A0A069SEW1	-2.69706101016001	-9.53227	4.24981	light	FAvFT	targetted
Dysgonomonas alginatilytica-A0A2V3PJC3	-2.69706101016001	-9.53227	4.24981	light	FAvFT	targetted
Weissella coleopterorum-A0A6G8B1H1	-2.691962605575	-10.0979	3.36175	light	FAvFT	targetted
Rikenella microfusus-A0A379MP36	-2.691724497645	-10.4269	3.94926	light	FAvFT	targetted
Enterococcus casseliflavus (Enterococcus flavescens)-A0A1V8ZND8	-2.691175795515	-10.2089	3.26352	dark	FAvFT	targetted
Enterococcus casseliflavus (Enterococcus flavescens)-A0A941GQQ8	-2.691175795515	-10.2089	3.26352	dark	FAvFT	targetted
Parabacteroides distasonis-A0A3R6C8A6	-2.6897960118275	-9.99918	3.24748	light	FAvFT	targetted
Parabacteroides distasonis-A0A174JSE5	-2.6897960118275	-9.99918	3.24748	light	FAvFT	targetted
Listeria cossartiae subsp. cayugensis-A0A7X0ZD69	-2.68937934469	-9.05292	3.53068	light	FAvFT	targetted
Stenotrophomonas rhizophila-A0A7V7YET2	-2.68907785889	-9.84312	3.90699	light	FAvFT	targetted
Enterococcus cecorum-A0A921L5Z7	-2.68842217434249	-9.93611	3.29554	light	FAvFT	targetted
Enterococcus cecorum DSM 20682 = ATCC 43198-S1R0R2	-2.68842217434249	-9.93611	3.29554	light	FAvFT	targetted
Enterococcus cecorum-A0A366SH72	-2.68842217434249	-9.93611	3.29554	light	FAvFT	targetted
Sphingopyxis indica-A0A239EHW9	-2.6878713371204	-9.52746	3.87609	light	FAvFT	targetted
Paucilactobacillus vaccinostercus DSM 20634-A0A0R2A395	-2.6877815743277	-9.44342	4.0162	light	FAvFT	targetted
Clostridium sp. CAG:568-R5ZJZ0	-2.687770080835	-9.72821	3.72471	light	FAvFT	targetted
Listeria monocytogenes-A0A3T2I1S1	-2.68716113189	-9.43234	3.95838	light	FAvFT	targetted
Stenotrophomonas rhizophila-A0A6G8YLY3	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A8E3U925	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A246HQN6	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas pavanii-A0A246KUS4	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Blastochloris sulfoviridis-A0A5M6HWF3	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Aeromonas taiwanensis-A0A5F0K7R9	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A1A6XX82	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas rhizophila-A0A3N1KHQ2	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A2J0T0Z6	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)-A0A4S2D4H9	-2.6844100013535	-9.83493	4.49291	light	FAvFT	targetted
Listeria monocytogenes-A0A3R5TD68	-2.6831940931535	-10.1162	3.72227	dark	FAvFT	targetted
Tannerella sp. CAG:118-R5IIG7	-2.68045631373901	-9.46075	3.41086	light	FAvFT	targetted
Parabacteroides chinchillae-A0A8G2BZA1	-2.68045631373901	-9.46075	3.41086	light	FAvFT	targetted
Listeria monocytogenes-A0A7U7YJQ9	-2.679785811895	-10.0649	3.5021	light	FAvFT	targetted
Stecheria intestinalis-A0A7X2NRG6	-2.6780568425175	-10.276	3.54159	light	FAvFT	targetted
Roseburia intestinalis-A0A6L6XKH0	-2.678042942755	-10.1074	3.33026	dark	FAvFT	targetted
Limosilactobacillus secaliphilus-A0A0R2I0I1	-2.677937917375	-9.35678	4.10848	dark	FAvFT	targetted
Chitinophaga lutea-A0A3N4PH84	-2.677364845355	-9.42374	4.4445	light	FAvFT	targetted
Ligilactobacillus salivarius-C7AQX7	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Ligilactobacillus salivarius GJ-24-F7QWZ2	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Ligilactobacillus salivarius SMXD51-H7G1D2	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Ligilactobacillus salivarius DSM 20555 = ATCC 11741-C2EIL7	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Lactobacillus amylovorus (strain GRL 1112)-E4SIA7	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Ligilactobacillus salivarius NIAS840-F5VG40	-2.676588098882	-9.5036	4.00946	dark	FAvFT	targetted
Ligilactobacillus ruminis DPC 6832-A0A837DWL8	-2.675970047445	-10.1698	3.54732	light	FAvFT	targetted
Ligilactobacillus ruminis SPM0211-F7R122	-2.675970047445	-10.1698	3.54732	light	FAvFT	targetted
Ligilactobacillus ruminis-A0A8B2Z4H6	-2.675970047445	-10.1698	3.54732	light	FAvFT	targetted
Butyricimonas faecihominis-A0A7W6HXC2	-2.675970047445	-10.1698	3.54732	light	FAvFT	targetted
Hyunsoonleella flava-A0A4Q9FCU2	-2.675970047445	-10.1698	3.54732	light	FAvFT	targetted
Faecalicoccus pleomorphus-A0A380LLX8	-2.675523318295	-9.27154	4.25127	light	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A3F3NRP2	-2.674928139895	-9.6997	3.58664	light	FAvFT	targetted
Lactobacillus porci-A0A6A8MGB7	-2.6721601678855	-10.4993	4.11698	dark	FAvFT	targetted
Herbiconiux ginsengi-A0A1H3KX76	-2.6721601678855	-10.4993	4.11698	dark	FAvFT	targetted
Holdemania filiformis DSM 12042-B9YEB9	-2.67155392202	-9.78322	3.93287	dark	FAvFT	targetted
Gimesia algae-A0A517VGW4	-2.67108372125	-10.0781	4.02683	light	FAvFT	targetted
Arthrobacter sunyaminii-A0A975S879	-2.670720126585	-10.6665	3.42424	dark	FAvFT	targetted
Anaerocolumna sedimenticola-A0A6P1THR1	-2.67028558621	-9.97334	3.41896	dark	FAvFT	targetted
Prevotella sp. CAG:485-R7F4F7	-2.6670898681355	-5.33361	-0.56089	light	FAvFT	targetted
Subdoligranulum variabile DSM 15176-D1PI43	-2.663439178155	-9.72756	3.90464	light	FAvFT	targetted
Paraburkholderia azotifigens-A0A5C6VDI9	-2.66053870308001	-9.03679	3.55296	light	FAvFT	targetted
Pseudoscardovia radai-A0A261EQB5	-2.6597430422	-5.1923	-0.433538	dark	FAvFT	targetted
Winogradskyella aurantia-A0A265UXW3	-2.656831671675	-9.32119	3.29549	light	FAvFT	targetted
Clostridium sp. CAG:448-R6SY59	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A2S7MA35	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23)-D5ERX0	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis-A0A552YZ79	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus mundtii-A0A2S7RS71	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lysinibacillus mangiferihumi-A0A4V5TPP4	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A5P3IFE5	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lysinibacillus pakistanensis-A0A5Q2NBM6	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Butyricicoccus pullicaecorum-A0A1Y4LFC9	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Bacillus cereus-A0A329FB11	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis RTB018-A0A199YVI4	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Virgisporangium aurantiacum-A0A8J3ZI13	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A4U4F1S6	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis A12-S6FTM1	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus mundtii-A0A1V2UKY1	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis CNCM I-1631-G6FB77	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lysinibacillus sphaericus (Bacillus sphaericus)-A0A2S0K147	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8CBE0	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lysinibacillus varians-A0A806LHU2	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8D013	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Bacillus cereus-A0A2B4DD98	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis-A0A2X0RBH0	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus mundtii-A0A242L160	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus mundtii-A0A2M9FQF2	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8E794	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lysinibacillus sphaericus (Bacillus sphaericus)-A0A2S5D0U8	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Micromonospora palomenae-A0A561WUB8	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Butyricicoccus pullicaecorum 1.2-R8W4N1	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8EV60	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus mundtii QU 25-V5XPI8	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Lactococcus lactis subsp. cremoris (Streptococcus cremoris)-A0A6I2HU76	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A132P9C9	-2.65576964281	-10.0891	4.06091	dark	FAvFT	targetted
Planococcus rifietoensis-A0A0U2XG82	-2.654539854865	-10.2163	3.15063	light	FAvFT	targetted
Enterococcus avium (Streptococcus avium)-A0A2N8PS02	-2.653844725395	-9.14162	4.17511	light	FAvFT	targetted
Enterococcus gallinarum-A0A5F0V2F2	-2.653844725395	-9.14162	4.17511	light	FAvFT	targetted
Enterococcus avium (Streptococcus avium)-A0A4P8KDP6	-2.653844725395	-9.14162	4.17511	light	FAvFT	targetted
Lactobacillus bombicola-A0A3R6XZ18	-2.65281248539999	-9.68167	3.69365	light	FAvFT	targetted
Lactobacillus bombicola-A0A1I1SYU2	-2.65281248539999	-9.68167	3.69365	light	FAvFT	targetted
Lactobacillus bombicola-A0A396SZ37	-2.65281248539999	-9.68167	3.69365	light	FAvFT	targetted
Clostridium perfringens-Q5DWA3	-2.652402286105	-9.09169	4.0937	dark	FAvFT	targetted
Enterococcus faecium EnGen0180-A0A829ETJ4	-2.652131435561	-10.5828	2.95085	light	FAvFT	targetted
Coprobacter secundus subsp. similis-A0A7G1HSM7	-2.650118762805	-9.48464	3.88073	light	FAvFT	targetted
Bacillus cereus-A0A2B4DD98	-2.650052684925	-9.02855	4.12196	light	FAvFT	targetted
Lysinibacillus pakistanensis-A0A5Q2NBM6	-2.650052684925	-9.02855	4.12196	light	FAvFT	targetted
Bacillus cereus-A0A329FB11	-2.650052684925	-9.02855	4.12196	light	FAvFT	targetted
Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))-E0UMW9	-2.64985035251985	-11.0328	5.58866	light	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A8B2RPQ9	-2.64962428940499	-10.2515	4.15997	dark	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A133CQ73	-2.64962428940499	-10.2515	4.15997	dark	FAvFT	targetted
Lactiplantibacillus plantarum (Lactobacillus plantarum)-A0A162F1W8	-2.6487741305	-10.404	3.21282	dark	FAvFT	targetted
Ligilactobacillus apodemi DSM 16634 = JCM 16172-A0A0R1U1F4	-2.64839406734	-9.80716	3.81806	dark	FAvFT	targetted
Aeromonas caviae (Aeromonas punctata)-A0A3G9I3T7	-2.64797666337	-10.069	4.11613	dark	FAvFT	targetted
Clostridium intestinale URNW-U2NJY6	-2.64797666337	-10.069	4.11613	dark	FAvFT	targetted
Clostridium intestinale DSM 6191-A0A1M6BPL8	-2.64797666337	-10.069	4.11613	dark	FAvFT	targetted
Planococcus citreus-A0A497YPB1	-2.64731224904499	-9.0347	3.96952	dark	FAvFT	targetted
Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258 / NCTC 12367 / WDCM 00089 / R)-I6T8Q1	-2.64731224904499	-9.0347	3.96952	dark	FAvFT	targetted
Secundilactobacillus pentosiphilus-A0A1Z5ILG0	-2.64643285408	-9.90078	4.5938	light	FAvFT	targetted
Yersinia frederiksenii-A0A0T9T737	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia massiliensis-A0A2R4NMT5	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia enterocolitica-A0A7T9XRF9	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia intermedia-A0A0H5LXP1	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia massiliensis-A0A0T9Q0W7	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia kristensenii-A0A0T9L4Y4	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Yersinia rochesterensis-A0A386HHR5	-2.64520515006	-10.0513	3.34153	light	FAvFT	targetted
Prevotella ruminicola (Bacteroides ruminicola)-A0A928BVX3	-2.644208087735	-9.66491	3.49008	dark	FAvFT	targetted
Bacteroides fragilis str. S36L11-A0A015X5Y2	-2.64375932236001	-9.77021	4.33545	light	FAvFT	targetted
Clostridium sp. CAG:217-R6J1M9	-2.64375932236001	-9.77021	4.33545	light	FAvFT	targetted
Lawsonibacter_sp000492175	-2.64362334618	-9.43665	3.70773	dark	FAvFT	untargetted
Lactobacillus amylovorus CAG:719-R5YIN4	-2.6430567252775	-9.00454	4.13755	dark	FAvFT	targetted
Lactobacillus amylovorus (strain GRL 1118)-F2LZ53	-2.6430567252775	-9.00454	4.13755	dark	FAvFT	targetted
Lactobacillus amylovorus DSM 16698-A0A0R2KBY6	-2.6430567252775	-9.00454	4.13755	dark	FAvFT	targetted
Zhenhengia yiwuensis-A0A926IEI1	-2.64236259629601	-9.49618	4.79221	light	FAvFT	targetted
Listeria seeligeri FSL N1-067-E3ZSC8	-2.64011164359945	-10.3514	3.65803	light	FAvFT	targetted
Acinetobacter rudis CIP 110305-S3MTK0	-2.63778940003725	-9.51219	3.68883	dark	FAvFT	targetted
Limosilactobacillus coleohominis DSM 14060-A0A0R2BYW1	-2.637265322814	-11.3255	3.67828	light	FAvFT	targetted
Streptococcus infantarius-A0A380KNN4	-2.6367869070305	-8.80359	4.34698	light	FAvFT	targetted
Lysinibacillus sphaericus CBAM5-W7RZL3	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Clostridium perfringens-A0A2X3IHM8	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0H1RKD7	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Roseburia intestinalis-A0A3R6D207	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0V8BFT8	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Blautia hydrogenotrophica CAG:147-R5BV01	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
NA	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Lysinibacillus sphaericus (strain C3-41)-B1HQM9	-2.635863335135	-9.78721	3.59196	dark	FAvFT	targetted
Bacteroides thetaiotaomicron-A0A0P0ER20	-2.63371880710501	-10.0271	4.08064	light	FAvFT	targetted
Dysgonomonas capnocytophagoides-A0A4Y8L1U8	-2.6337148611985	-9.66018	3.92611	light	FAvFT	targetted
Enterocloster bolteae-A0A6N2WJG7	-2.632628860365	-9.30681	4.56623	light	FAvFT	targetted
Proteiniclasticum ruminis-A0A1I5B965	-2.63244075962	-9.55257	3.97277	dark	FAvFT	targetted
Limosilactobacillus mucosae (Lactobacillus mucosae)-A0A1H0CSY4	-2.6314055168	-10.2482	3.7552	dark	FAvFT	targetted
Trichococcus collinsii-A0A143Z5L8	-2.6306300255505	-9.7065	3.572	dark	FAvFT	targetted
Allocatelliglobosispora scoriae-A0A841BJN2	-2.6302987439955	-9.8987	4.01891	dark	FAvFT	targetted
Trichococcus flocculiformis-A0A143Y4H9	-2.6299990818265	-9.65804	3.49125	light	FAvFT	targetted
Anaerostipes butyraticus-A0A916VDJ9	-2.62986260749001	-10.2655	3.98379	dark	FAvFT	targetted
Collinsella tanakaei YIT 12063-G1WLB3	-2.628019252495	-9.75625	4.13136	dark	FAvFT	targetted
Collinsella tanakaei-A0A3E4QZA8	-2.628019252495	-9.75625	4.13136	dark	FAvFT	targetted
Faecalicoccus pleomorphus-A0A3E3E3J4	-2.627068040555	-9.45213	4.32619	dark	FAvFT	targetted
Porcincola intestinalis-A0A6L5X934	-2.6254352421	-9.48789	3.95093	light	FAvFT	targetted
Ruminococcus sp. CAG:382-R6WC25	-2.6254352421	-9.48789	3.95093	light	FAvFT	targetted
Lactobacillus amylovorus (strain GRL 1118)-F2LZQ3	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus intestinalis-A0A4S2BS46	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus gasseri SV-16A-US-A0A087QD49	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM)-Q5FK51	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus amylovorus (strain GRL 1112)-E4SJ30	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus amylovorus-F0TF04	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus gasseri 224-1-D1YJ92	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus acidophilus-B9V409	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus helveticus (Lactobacillus suntoryeus)-A0A6A7K2P7	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus amylovorus CAG:719-R5YR15	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus amylovorus-A0A4U0CIP0	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus gasseri (strain ATCC 33323 / DSM 20243 / BCRC 14619 / CIP 102991 / JCM 1131 / KCTC 3163 / NCIMB 11718 / NCTC 13722 / AM63)-A0A1V0FWZ3	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Lactobacillus gasseri-A0A8A4V1Q4	-2.6250023446655	-10.6096	4.42173	light	FAvFT	targetted
Absicoccus porci-A0A3N0HX27	-2.62375688338	-10.3371	3.64909	dark	FAvFT	targetted
Actinophytocola algeriensis-A0A7W7QBI2	-2.6235469538715	-9.69411	3.94073	light	FAvFT	targetted
Roseburia inulinivorans-A0A174BY25	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A1V0NI01	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A8B3F4H8	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis bv. diacetylactis-A0A5D4GF29	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Roseburia intestinalis M50/1-D4KLW5	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0B8QW26	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A2N5WBJ7	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A5C5BN99	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Roseburia intestinalis XB6B4-D4L243	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Roseburia intestinalis-A0A173VRA0	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Lactococcus lactis subsp. lactis (Streptococcus lactis)-A0A0B8QRG3	-2.623154558675	-10.2003	3.49515	dark	FAvFT	targetted
Planococcus citreus-A0A497YPB1	-2.621979093875	-9.48495	3.60436	light	FAvFT	targetted
Ventrimonas_sp003611875	-2.621676073955	-10.458	3.55607	dark	FAvFT	untargetted
Enterococcus hirae-A0A366UDC1	-2.61829342348	-9.45968	3.8324	light	FAvFT	targetted
Ligilactobacillus animalis KCTC 3501 = DSM 20602-A0A0R1ZQV3	-2.61805362287	-9.3155	4.44904	dark	FAvFT	targetted
Ligilactobacillus ruminis ATCC 25644-E7FQ75	-2.617709128815	-9.99744	4.07472	light	FAvFT	targetted
Lactobacillus gigeriorum DSM 23908 = CRBIP 24.85-I7LGS2	-2.6168844282865	-10.3136	3.97479	dark	FAvFT	targetted
Lactiplantibacillus argentoratensis-A0A8D4SSW8	-2.6168844282865	-10.3136	3.97479	dark	FAvFT	targetted
Bacteroides thetaiotaomicron-A0A139KZW9	-2.61588286816	-9.28233	3.85704	light	FAvFT	targetted
Yersinia nurmii-A0A0T9KPI6	-2.61588286816	-9.28233	3.85704	light	FAvFT	targetted
Liquorilactobacillus nagelii DSM 13675-A0A0R1Q8Y3	-2.61546213672	-10.8339	5.93043	light	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A8B2RPQ9	-2.61533082973	-9.61356	4.11875	light	FAvFT	targetted
Alloscardovia macacae-A0A261F7B4	-2.6129536475635	-10.0553	4.02547	light	FAvFT	targetted
Alloscardovia macacae-A0A1Y2SXQ6	-2.6129536475635	-10.0553	4.02547	light	FAvFT	targetted
Chitinophaga polysaccharea-A0A561PB65	-2.6129536475635	-10.0553	4.02547	light	FAvFT	targetted
Aliidiomarina halalkaliphila-A0A552X1H7	-2.61115557352	-9.22855	3.93374	light	FAvFT	targetted
Coprobacillus cateniformis-E7GG88	-2.60885465003351	-10.2037	3.89643	light	FAvFT	targetted
Lachnotalea glycerini-A0A318EUE0	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Bacteroides xylanisolvens SD CC 1b-W6PB51	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Bacteroides xylanisolvens-A0A415FIM7	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Bacteroides xylanisolvens XB1A-D6D2E2	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Parvicella tangerina-A0A916JK65	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Bacteroides xylanisolvens-A0A1I4TD06	-2.607280046956	-9.65845	4.85764	light	FAvFT	targetted
Lactobacillus crispatus-A0A120DHQ5	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Lactiplantibacillus plantarum (Lactobacillus plantarum)-A0A162F1W8	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Nonomuraea polychroma-A0A438LZU0	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Clostridium senegalense-A0A6M0H5D3	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Subtercola boreus-A0A3E0W342	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Subtercola boreus-A0A3E0VMC3	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Paenibacillus endophyticus-A0A7W5GDL0	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Flammeovirga aprica JL-4-A0A7X9RUG2	-2.606334068615	-10.0367	3.77654	light	FAvFT	targetted
Enterococcus gallinarum-A0A0X8PQC8	-2.60565511563199	-10.5428	4.06796	dark	FAvFT	targetted
Roseburia intestinalis-A0A3R6DCF5	-2.60565511563199	-10.5428	4.06796	dark	FAvFT	targetted
Enterococcus casseliflavus ATCC 12755-F0EMQ9	-2.60565511563199	-10.5428	4.06796	dark	FAvFT	targetted
