BSHspecies	ratio	min	max	phase	comparison	search_method
Parabacteroides gordonii MS-1 = DSM 23371-A0A0F5JLM1	-4.77849377144999	-10.3663	0.175637	light	FAvFT	targetted
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A3E4KJY5	-4.76244793883	-11.0703	0.299564	dark	FAvFT	targetted
Lactobacillus johnsonii-P97038	-4.76244793883	-11.0703	0.299564	dark	FAvFT	targetted
Lactobacillus paragasseri-A0A8E3UTK9	-4.76244793883	-11.0703	0.299564	dark	FAvFT	targetted
Lactobacillus paragasseri-A0A2Z6PSU9	-4.76244793883	-11.0703	0.299564	dark	FAvFT	targetted
Lactobacillus paragasseri-A0A558K589	-4.76244793883	-11.0703	0.299564	dark	FAvFT	targetted
Bacteroides uniformis CAG:3-R7EFA5	-4.74640990705	-10.5586	0.234521	dark	FAvFT	targetted
Haematobacter massiliensis-A0A086Y5K4	-4.74484635450001	-10.8265	-0.139751	light	FAvFT	targetted
Duncaniella dubosii-A0A4P7W1A3	-4.7300601239	-10.5821	0.0261235	dark	FAvFT	targetted
Muribaculum_gordoncarteri	-4.73001467746999	-11.6803	1.98371	dark	NAvFA	untargetted
Lactobacillus johnsonii-A0A7U9RN19	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A267MDW7	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A4Z0GA50	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii (strain FI9785)-D0R2U6	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)-Q74LX7	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii N6.2-A0A7D9N467	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A256MFB7	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A4Y9IC69	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A4S2CHH9	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii DPC 6026-F4ADE7	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A921EIH3	-4.66413487384751	-10.0349	0.224046	dark	FAvFT	targetted
Bullifex porci-A0A7X2PDY7	-4.5790485103	-10.4662	0.580537	light	FAvFT	targetted
Lactobacillus crispatus-A0A2N5KYJ7	-4.56410460767499	-10.8567	0.383722	dark	FAvFT	targetted
Fructilactobacillus fructivorans-A0A837RN10	-4.55340441450999	-10.5961	0.374113	light	FAvFT	targetted
Ligilactobacillus aviarius-A0A179CKJ1	-4.55265203735499	-10.0676	0.746707	light	FAvFT	targetted
Marinilabilia rubra-A0A2U2B742	-4.55198573922	-10.1635	0.982032	dark	FAvFT	targetted
Paramuribaculum_intestinale	-4.51177935625001	-12.1309	2.82914	dark	FAvFT	untargetted
Turicibacter sanguinis-A0A174UKW2	-4.50797197384001	-10.4566	0.700048	dark	FAvFT	targetted
Fructilactobacillus fructivorans-A0A0C1M7G7	-4.50601700665049	-11.2313	0.119628	light	FAvFT	targetted
Pseudobutyrivibrio ruminis-A0A1H7H8C5	-4.5057975111	-10.5412	0.482261	light	FAvFT	targetted
[Ruminococcus] lactaris CC59_002D-V8BM28	-4.500878143915	-9.98193	0.602888	light	FAvFT	targetted
Enterococcus faecalis (Streptococcus faecalis)-Q8KUA7	-4.47650556173999	-9.85055	0.20074	dark	FAvFT	targetted
Enterococcus faecalis (strain ATCC 700802 / V583)-H7C725	-4.472135773525	-9.70846	1.00061	dark	FAvFT	targetted
Enterococcus faecalis D6-A0A8S6XIB5	-4.472135773525	-9.70846	1.00061	dark	FAvFT	targetted
Enterococcus faecalis EnGen0302-A0A0M2AE59	-4.472135773525	-9.70846	1.00061	dark	FAvFT	targetted
Enterococcus faecalis EnGen0311-E2YTX6	-4.472135773525	-9.70846	1.00061	dark	FAvFT	targetted
Pusillibacter faecalis-A0A810Q9E6	-4.46429240091	-10.0124	0.416402	light	FAvFT	targetted
Enterocloster clostridioformis-A0A174DL00	-4.45884777203849	-10.0372	0.788931	light	FAvFT	targetted
Thiocapsa rosea-A0A495VFW7	-4.4381120573	-11.1514	2.25861	light	FAvFT	targetted
Weissella kandleri-A0A0R2JKX7	-4.4374553761	-9.68398	0.638522	dark	FAvFT	targetted
Enterococcus faecium (Streptococcus faecium)-A0A1Y3J2A3	-4.43291062450999	-10.5142	0.666855	light	FAvFT	targetted
Enterococcus durans-A0A5N0YTI1	-4.40509719831901	-10.1068	0.380555	dark	FAvFT	targetted
Enterococcus faecalis T2-C7CXJ5	-4.39172756373001	-10.3571	0.628584	dark	FAvFT	targetted
Enterococcus faecalis TX4248-A0A125W9K2	-4.39172756373001	-10.3571	0.628584	dark	FAvFT	targetted
Enterococcus faecalis TX2141-A0A828QT36	-4.39172756373001	-10.3571	0.628584	dark	FAvFT	targetted
Prevotella sp. CAG:873-R7IZ25	-4.3876135153755	-9.75789	0.83935	light	FAvFT	targetted
Lactobacillus johnsonii-A0A267LTT5	-4.38733571918601	-10.5742	0.921885	dark	FAvFT	targetted
Lunatimonas lonarensis-R7ZTT8	-4.38618403560501	-10.43	0.46081	light	FAvFT	targetted
Peptacetobacter hiranonis (strain DSM 13275 / JCM 10541 / KCTC 15199 / TO-931) (Clostridium hiranonis)-B6FXH3	-4.37274181915	-9.74704	0.568637	dark	FAvFT	targetted
Ligilactobacillus salivarius-A0A5C8H7B1	-4.35149599733	-10.4843	1.25175	dark	FAvFT	targetted
Levilactobacillus brevis (Lactobacillus brevis)-A0A2A3TX05	-4.345677222865	-10.7445	1.00635	dark	FAvFT	targetted
UBA7477_sp001940995	-4.32181898150001	-10.5798	1.17057	light	NAvFA	untargetted
Anaerotruncus_sp000403395	-4.317852932885	-11.4136	1.12643	light	FAvFT	untargetted
Lachnospira eligens-A0A413YS81	-4.310012116435	-10.0958	0.804644	light	FAvFT	targetted
Clostridium frigidicarnis-A0A1I0V685	-4.247830085605	-10.1672	0.831627	dark	FAvFT	targetted
Lacticaseibacillus pantheris DSM 15945 = JCM 12539 = NBRC 106106-A0A0R1U5G5	-4.2459282539	-11.2039	1.94199	dark	FAvFT	targetted
Streptococcus hyointestinalis-A0A380KCK5	-4.235848882125	-9.66786	0.61557	light	FAvFT	targetted
Lactobacillus acidophilus-A5HKP3	-4.22787565117	-10.3989	0.715504	dark	FAvFT	targetted
[Clostridium] fimetarium-A0A1I0R1L4	-4.227847695945	-11.8445	2.28576	light	FAvFT	targetted
Lactobacillus johnsonii-A0A346MTG1	-4.21703426539999	-10.3238	0.949284	dark	FAvFT	targetted
Lactobacillus johnsonii-A0A6B9HX44	-4.21703426539999	-10.3238	0.949284	dark	FAvFT	targetted
Lactobacillus johnsonii ATCC 33200-C2E3X0	-4.21703426539999	-10.3238	0.949284	dark	FAvFT	targetted
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A0P0LK75	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Phocaeicola vulgatus PC510-D4V4K2	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Phocaeicola vulgatus (Bacteroides vulgatus)-A0A415BVD3	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
Lactobacillus gasseri 224-1-D1YKI9	-4.187520864515	-10.048	0.854379	dark	FAvFT	targetted
